sample	study	tissue
SRR11794958	32817425	leaf
SRR11794959	32817425	leaf
SRR11794960	32817425	leaf
SRR11794961	32817425	leaf
SRR11794964	32817425	leaf
SRR11794965	32817425	leaf
SRR11794966	32817425	leaf
SRR17521799	35285930	inflorescence
SRR17521800	35285930	inflorescence
SRR17521801	35285930	inflorescence
SRR17521802	35285930	inflorescence
SRR17521803	35285930	inflorescence
SRR17521804	35285930	inflorescence
SRR17521805	35285930	inflorescence
SRR17521806	35285930	inflorescence
SRR17521807	35285930	inflorescence
SRR17521808	35285930	inflorescence
SRR17521809	35285930	inflorescence
SRR17521810	35285930	inflorescence
SRR17521811	35285930	inflorescence
SRR17521812	35285930	inflorescence
SRR17521813	35285930	inflorescence
SRR17521814	35285930	inflorescence
SRR17521815	35285930	inflorescence
SRR17521816	35285930	inflorescence
SRR17521817	35285930	inflorescence
SRR17521818	35285930	inflorescence
SRR17521819	35285930	inflorescence
SRR17521820	35285930	inflorescence
SRR5445629	31245666	leaf
SRR5445628	31245666	leaf
SRR5445627	31245666	leaf
SRR5445626	31245666	leaf
SRR5445625	31245666	leaf
SRR5445624	31245666	leaf
SRR5445623	31245666	leaf
SRR5445622	31245666	leaf
SRR5445621	31245666	leaf
SRR5445620	31245666	leaf
SRR5445619	31245666	leaf
SRR5445618	31245666	leaf
SRR5445617	31245666	leaf
SRR5445616	31245666	leaf
SRR5445615	31245666	leaf
SRR5445614	31245666	leaf
SRR5445613	31245666	leaf
SRR5445612	31245666	leaf
SRR5445611	31245666	leaf
SRR5445610	31245666	leaf
SRR5445609	31245666	leaf
SRR5445608	31245666	leaf
SRR5445607	31245666	leaf
SRR5445606	31245666	leaf
SRR5445605	31245666	leaf
SRR5445604	31245666	leaf
SRR5445603	31245666	leaf
SRR5445602	31245666	leaf
SRR5445601	31245666	leaf
SRR5445600	31245666	leaf
SRR5445599	31245666	leaf
SRR5445598	31245666	leaf
SRR5445597	31245666	leaf
SRR5445596	31245666	leaf
SRR5445595	31245666	leaf
SRR5445594	31245666	leaf
SRR5445593	31245666	leaf
SRR5445592	31245666	leaf
SRR5445591	31245666	leaf
SRR5445590	31245666	leaf
SRR5445589	31245666	leaf
SRR5445588	31245666	leaf
SRR5445587	31245666	leaf
SRR5445586	31245666	leaf
SRR5445585	31245666	leaf
SRR5445584	31245666	leaf
SRR5445583	31245666	leaf
SRR5445582	31245666	leaf
SRR5445581	31245666	leaf
SRR5445580	31245666	leaf
SRR5445579	31245666	leaf
SRR5445578	31245666	leaf
SRR5445577	31245666	leaf
SRR5445576	31245666	leaf
SRR5445575	31245666	leaf
SRR5445574	31245666	leaf
SRR5445573	31245666	leaf
SRR5445572	31245666	leaf
SRR5445571	31245666	leaf
SRR5445570	31245666	leaf
SRR5445569	31245666	leaf
SRR5445568	31245666	leaf
SRR5445567	31245666	leaf
SRR5445566	31245666	leaf
SRR5445565	31245666	leaf
SRR5445564	31245666	leaf
SRR5445563	31245666	leaf
SRR5445562	31245666	leaf
SRR5445561	31245666	leaf
SRR5445560	31245666	leaf
SRR5445559	31245666	leaf
SRR5445558	31245666	leaf
SRR5445557	31245666	leaf
SRR5445556	31245666	leaf
SRR5445555	31245666	leaf
SRR5445554	31245666	leaf
SRR5445553	31245666	leaf
SRR5445552	31245666	leaf
SRR5445551	31245666	leaf
SRR5445550	31245666	leaf
SRR5445549	31245666	leaf
SRR5445548	31245666	leaf
SRR5445547	31245666	leaf
SRR5445546	31245666	leaf
SRR5445545	31245666	leaf
SRR5445544	31245666	leaf
SRR5445543	31245666	leaf
SRR5445542	31245666	leaf
SRR5445541	31245666	leaf
SRR5445540	31245666	leaf
SRR5445539	31245666	leaf
SRR5445538	31245666	leaf
SRR5445537	31245666	leaf
SRR5445536	31245666	leaf
SRR5445535	31245666	leaf
SRR5445534	31245666	leaf
SRR7704027	30258452	inflorescence
SRR7704028	30258452	inflorescence
SRR7704029	30258452	inflorescence
SRR7704030	30258452	inflorescence
SRR7704031	30258452	inflorescence
SRR7704032	30258452	inflorescence
SRR7704033	30258452	inflorescence
SRR7704034	30258452	inflorescence
SRR7704035	30258452	inflorescence
SRR7704036	30258452	inflorescence
SRR7704037	30258452	inflorescence
