	group
0	grupo3
1	grupo3
2	grupo3
3	grupo3
4	grupo3
5	grupo3
6	grupo3
7	grupo4
8	grupo4
9	grupo4
10	grupo4
11	grupo4
12	grupo4
13	grupo4
14	grupo4
15	grupo4
16	grupo4
17	grupo4
18	grupo4
19	grupo4
20	grupo4
21	grupo4
22	grupo4
23	grupo4
24	grupo4
25	grupo4
26	grupo4
27	grupo4
28	grupo4
29	grupo2
30	grupo2
31	grupo2
32	grupo2
33	grupo2
34	grupo2
35	grupo2
36	grupo2
37	grupo2
38	grupo2
39	grupo2
40	grupo2
41	grupo2
42	grupo2
43	grupo2
44	grupo2
45	grupo2
46	grupo2
47	grupo2
48	grupo2
49	grupo2
50	grupo2
51	grupo2
52	grupo2
53	grupo2
54	grupo2
55	grupo2
56	grupo2
57	grupo2
58	grupo2
59	grupo2
60	grupo2
61	grupo2
62	grupo2
63	grupo2
64	grupo2
65	grupo2
66	grupo2
67	grupo2
68	grupo2
69	grupo2
70	grupo2
71	grupo2
72	grupo2
73	grupo2
74	grupo2
75	grupo2
76	grupo2
77	grupo2
78	grupo2
79	grupo2
80	grupo2
81	grupo2
82	grupo2
83	grupo2
84	grupo2
85	grupo2
86	grupo2
87	grupo2
88	grupo2
89	grupo2
90	grupo2
91	grupo2
92	grupo2
93	grupo2
94	grupo2
95	grupo2
96	grupo2
97	grupo2
98	grupo2
99	grupo2
100	grupo2
101	grupo2
102	grupo2
103	grupo2
104	grupo2
105	grupo2
106	grupo2
107	grupo2
108	grupo2
109	grupo2
110	grupo2
111	grupo2
112	grupo2
113	grupo2
114	grupo2
115	grupo2
116	grupo2
117	grupo2
118	grupo2
119	grupo2
120	grupo2
121	grupo2
122	grupo2
123	grupo2
124	grupo2
125	grupo1
126	grupo1
127	grupo1
128	grupo1
129	grupo1
130	grupo1
131	grupo1
132	grupo1
133	grupo1
134	grupo1
135	grupo1
