	Name
0	Sevir.3G405800.1
1	Sevir.3G139600.1
2	Sevir.3G069600.1
3	Sevir.3G061500.1
4	Sevir.3G031800.1
5	Sevir.7G109000.1
6	Sevir.6G049500.1
7	Sevir.5G260300.1
8	Sevir.9G335700.1
9	Sevir.6G047500.1
10	Sevir.9G023400.1
11	Sevir.9G073100.1
12	Sevir.2G340700.1
13	Sevir.4G290600.1
14	Sevir.9G094900.1
15	Sevir.4G018100.1
16	Sevir.9G045500.1
17	Sevir.9G311500.1
18	Sevir.5G229000.1
19	Sevir.1G129800.1
20	Sevir.4G125200.1
21	Sevir.3G190100.1
22	Sevir.1G067300.1
23	Sevir.1G105600.1
24	Sevir.9G189800.1
25	Sevir.9G564800.1
26	Sevir.4G070500.1
27	Sevir.5G331500.1
28	Sevir.1G320700.1
29	Sevir.6G250600.1
30	Sevir.1G302200.1
31	Sevir.6G148500.1
32	Sevir.5G129325.1
33	Sevir.5G100500.1
34	Sevir.2G081700.1
35	Sevir.3G255200.1
36	Sevir.2G342000.1
37	Sevir.1G379200.1
38	Sevir.3G294500.1
39	Sevir.5G169700.1
40	Sevir.7G300400.1
41	Sevir.4G248000.1
42	Sevir.5G302400.1
43	Sevir.7G245500.1
44	Sevir.8G050166.1
