Name	Length
Sevir.4G000200.1	597
Sevir.4G000266.1	2423
Sevir.4G000332.1	353
Sevir.4G000400.1	447
Sevir.4G000450.1	553
Sevir.4G000500.1	726
Sevir.4G000700.1	918
Sevir.4G000800.1	1187
Sevir.4G000900.1	4551
Sevir.4G001000.1	225
Sevir.4G001100.1	2964
Sevir.4G001200.1	1783
Sevir.4G001300.1	866
Sevir.4G001400.1	2902
Sevir.4G001500.1	1651
Sevir.4G001600.1	3629
Sevir.4G001700.1	2445
Sevir.4G001800.2	654
Sevir.4G001900.1	7841
Sevir.4G002000.1	1248
Sevir.4G002100.1	1410
Sevir.4G002200.1	5205
Sevir.4G002300.3	2549
Sevir.4G002400.1	2033
Sevir.4G002500.1	1200
Sevir.4G002600.1	2775
Sevir.4G002700.1	4119
Sevir.4G002800.1	721
Sevir.4G002900.1	1742
Sevir.4G003000.1	3370
Sevir.4G003100.1	2996
Sevir.4G003101.1	378
Sevir.4G003300.1	2896
Sevir.4G003400.1	1561
Sevir.4G003500.3	2158
Sevir.4G003600.1	2500
Sevir.4G003700.2	3276
Sevir.4G003800.1	1867
Sevir.4G003900.1	4050
Sevir.4G004000.1	729
Sevir.4G004100.1	3701
Sevir.4G004200.1	922
Sevir.4G004201.1	792
Sevir.4G004400.1	2989
Sevir.4G004500.1	6054
Sevir.4G004600.1	1756
Sevir.4G004700.1	1367
Sevir.4G004800.1	1587
Sevir.4G004900.1	1924
Sevir.4G005000.2	1531
Sevir.4G005100.1	1893
Sevir.4G005200.1	946
Sevir.4G005300.1	2308
Sevir.4G005400.1	1212
Sevir.4G005500.1	1652
Sevir.4G005501.1	1002
Sevir.4G005600.1	1090
Sevir.4G005601.1	3561
Sevir.4G005700.1	386
Sevir.4G005800.1	342
Sevir.4G005900.1	1579
Sevir.4G006000.1	1268
Sevir.4G006100.2	2698
Sevir.4G006200.1	1356
Sevir.4G006300.1	1636
Sevir.4G006301.1	330
Sevir.4G006400.1	1854
